TransactionID,Month,DayOfWeek,Category,Quantity,SalesAmount,CostPrice,Profit,Discount(%),CustomerType,PaymentMethod
98,January,Saturday,Kitchenware,5,88.28,76.24,12.04,0,Club-More,Card
459,March,Wednesday,Chilled & Dairy,3,142.36,117.82,24.54,0,Regular,Wallet
1715,September,Wednesday,Deli & Ready Meals,2,89.39,67.87,21.52,0,Club-More,Cash
1275,July,Saturday,Snacks,5,61.06,50.04,11.02,0,Club-More,Cash
909,May,Saturday,Oils & Ghee,3,99.75,79.32,20.43,0,Regular,Cash
1521,August,Friday,Ice Cream,2,37.38,26.57,10.81,0,Regular,Card
46,January,Monday,Footwear,5,90.38,66.5,23.88,0,Club-More,Card
746,April,Wednesday,FMCG Non-Food,2,62.34,51.74,10.6,10,Regular,Cash
1187,June,Monday,Luggage,3,40.32,36.07,4.25,0,Walk-in,Card
1651,September,Thursday,Gift Items,3,86.9,64.07,22.83,0,Club-More,Card
1,January,Friday,Bakery,2,97.03,79.06,17.97,0,Regular,Card
771,April,Thursday,Chilled & Dairy,1,73.53,59.69,13.84,0,Regular,Cash
1438,August,Wednesday,Oils & Ghee,5,54.15,43.47,10.68,0,Club-More,Card
801,April,Sunday,Baby Products,2,22.18,19.0,3.18,0,Regular,Card
37,January,Saturday,Gift Items,5,85.85,62.59,23.26,0,Club-More,Cash
277,February,Wednesday,Rice & Grains,3,62.55,48.13,14.42,0,Regular,Cash
1629,August,Tuesday,Personal Care,5,83.96,62.09,21.87,5,Club-More,Card
989,May,Thursday,Home Furnishing,1,98.49,83.5,14.99,0,Regular,Card
582,March,Thursday,Toys & Sports,5,62.66,55.47,7.19,5,Walk-in,Card
1190,July,Tuesday,Household,5,39.06,28.04,11.02,0,Club-More,Cash
1412,August,Sunday,Cleaning Supplies,5,101.81,77.14,24.67,0,Club-More,Wallet
1516,August,Thursday,Soft Drinks,5,90.38,68.22,22.16,0,Regular,Cash
824,May,Friday,Roastery,5,174.39,139.76,34.63,0,Regular,Card
578,March,Wednesday,Stationery,3,116.95,103.93,13.02,0,Club-More,Cash
1316,July,Saturday,Ice Cream,5,195.3,170.57,24.73,0,Club-More,Card
485,March,Wednesday,IT Products,4,212.1,184.65,27.45,5,Club-More,Cash
715,April,Sunday,Electronics,2,524.68,471.03,53.65,0,Regular,Cash
884,May,Wednesday,Soft Drinks,3,112.29,86.48,25.81,0,Walk-in,Card
1499,August,Wednesday,Tobacco & Accessories,4,104.66,88.98,15.68,5,Regular,Cash
241,February,Saturday,Luggage,5,16.52,12.36,4.16,0,Club-More,Cash
969,May,Friday,Footwear,5,86.85,72.63,14.22,0,Club-More,Card
1646,September,Friday,Spices & Condiments,3,74.2,62.81,11.39,10,Regular,Card
652,April,Friday,IT Products,5,270.37,241.81,28.56,0,Club-More,Cash
291,February,Thursday,Garments,2,46.2,32.63,13.57,0,Club-More,Card
1399,July,Sunday,Deli & Ready Meals,5,47.68,41.26,6.42,0,Regular,Wallet
40,January,Tuesday,Imitation Jewelry,3,48.28,34.77,13.51,5,Walk-in,Card
438,March,Monday,Stationery,4,68.19,61.33,6.86,0,Club-More,Cash
315,February,Wednesday,Home Furnishing,5,59.14,44.45,14.69,0,Club-More,Cash
1861,September,Sunday,Chilled & Dairy,3,201.05,173.49,27.56,0,Club-More,Cash
480,March,Monday,Breakfast Cereals,5,161.86,128.25,33.61,0,Regular,Card
1500,August,Monday,Watch & Accessories,4,35.34,25.88,9.46,0,Regular,Card
1429,August,Friday,Watch & Accessories,4,59.98,52.69,7.29,0,Regular,Cash
1606,August,Sunday,Toys & Sports,4,61.76,49.19,12.57,0,Regular,Cash
1048,June,Tuesday,Jewellery & Accessories,1,485.56,343.02,142.54,0,Regular,Card
1071,June,Monday,Jewellery & Accessories,2,264.91,236.65,28.26,5,Club-More,Cash
750,April,Monday,Roastery,4,91.19,74.32,16.87,0,Regular,Cash
735,April,Friday,Personal Care,3,99.0,87.92,11.08,5,Regular,Card
1351,July,Thursday,Chilled & Dairy,4,195.31,147.26,48.05,5,Regular,Card
1755,September,Saturday,Home Appliance,5,291.7,210.15,81.55,0,Walk-in,Cash
309,February,Saturday,Tobacco & Accessories,1,49.27,35.49,13.78,0,Club-More,Wallet
232,February,Saturday,Watch & Accessories,4,23.73,17.59,6.14,0,Club-More,Cash
537,March,Wednesday,Garments,4,101.03,77.7,23.33,0,Club-More,Cash
860,May,Wednesday,Garments,2,67.0,49.32,17.68,0,Regular,Card
352,February,Tuesday,Snacks,5,145.26,126.67,18.59,0,Regular,Card
1493,August,Monday,Health & Beauty,2,99.5,71.2,28.3,0,Walk-in,Cash
952,May,Friday,Fish,3,60.99,53.85,7.14,0,Regular,Cash
1338,July,Thursday,Roastery,3,86.15,69.66,16.49,10,Walk-in,Cash
60,January,Tuesday,Medicine,3,159.77,131.57,28.2,15,Club-More,Cash
262,February,Tuesday,Organic Foods,3,65.0,57.66,7.34,0,Regular,Card
1163,June,Friday,Deli & Ready Meals,1,70.52,59.5,11.02,5,Club-More,Cash
965,May,Friday,Seasonal Products,3,25.04,20.37,4.67,0,Regular,Card
1251,July,Friday,Oils & Ghee,1,16.37,11.66,4.71,0,Regular,Card
526,March,Saturday,Butchery,2,187.63,148.63,39.0,5,Regular,Card
143,January,Sunday,FMCG Non-Food,4,26.5,23.38,3.12,0,Regular,Card
1535,August,Saturday,Dry Fruits & Nuts,3,30.58,23.14,7.44,0,Regular,Wallet
1752,September,Tuesday,Chilled & Dairy,5,48.92,37.86,11.06,0,Club-More,Card
835,May,Friday,Toys & Sports,3,26.78,20.87,5.91,0,Club-More,Card
1167,June,Saturday,Fruits & Vegetables,5,154.15,130.28,23.87,0,Regular,Cash
132,January,Wednesday,Spices & Condiments,3,94.76,78.05,16.71,0,Club-More,Cash
1781,September,Thursday,Imitation Jewelry,1,39.45,28.29,11.16,5,Regular,Cash
594,March,Friday,Fruits & Vegetables,5,95.78,85.86,9.92,0,Walk-in,Cash
247,February,Tuesday,Butchery,4,110.25,86.9,23.35,0,Regular,Card
746,April,Monday,Soft Drinks,3,162.8,130.14,32.66,0,Club-More,Cash
1289,July,Friday,Household,5,101.95,82.41,19.54,5,Club-More,Cash
1377,July,Thursday,Roastery,4,117.03,98.2,18.83,0,Club-More,Card
300,February,Sunday,Bakery,5,87.86,77.84,10.02,0,Regular,Wallet
1593,August,Thursday,Deli & Ready Meals,4,28.02,20.59,7.43,0,Regular,Card
719,April,Sunday,Luggage,1,114.91,85.84,29.07,10,Club-More,Card
741,April,Tuesday,Imitation Jewelry,1,33.37,29.1,4.27,15,Club-More,Card
372,February,Wednesday,Bakery,5,95.98,68.5,27.48,0,Regular,Cash
467,March,Wednesday,Imitation Jewelry,4,84.87,71.49,13.38,0,Walk-in,Cash
883,May,Friday,Home Appliance,1,475.37,410.0,65.37,5,Regular,Wallet
107,January,Wednesday,Organic Foods,1,35.73,25.39,10.34,0,Club-More,Card
468,March,Sunday,Deli & Ready Meals,2,74.2,56.58,17.62,10,Club-More,Cash
679,April,Monday,Seasonal Products,5,84.98,75.57,9.41,0,Regular,Card
789,April,Friday,Imitation Jewelry,4,86.42,62.64,23.78,10,Regular,Card
800,April,Sunday,Household,3,207.98,172.53,35.45,5,Regular,Wallet
1707,September,Friday,Personal Care,4,192.6,137.51,55.09,0,Club-More,Card
1074,June,Friday,Deli & Ready Meals,2,130.92,95.83,35.09,0,Club-More,Card
683,April,Monday,FMCG Food,2,139.92,111.19,28.73,5,Regular,Cash
1017,June,Monday,Imitation Jewelry,5,391.88,317.54,74.34,0,Regular,Cash
922,May,Monday,Baby Products,5,84.49,67.54,16.95,15,Regular,Cash
446,March,Friday,Home Furnishing,3,74.22,60.91,13.31,10,Regular,Card
1205,July,Friday,Rice & Grains,4,34.48,26.28,8.2,0,Regular,Card
659,April,Sunday,Frozen Foods,5,101.94,80.34,21.6,0,Walk-in,Wallet
76,January,Sunday,Seasonal Products,4,110.25,81.29,28.96,0,Club-More,Card
1165,June,Wednesday,Oils & Ghee,1,160.26,121.45,38.81,15,Regular,Cash
748,April,Friday,Fish,1,83.37,58.74,24.63,0,Club-More,Card
1209,July,Friday,Ice Cream,3,100.36,74.13,26.23,0,Club-More,Card
1668,September,Thursday,Garments,3,75.7,58.75,16.95,0,Club-More,Cash
2,January,Friday,Watch & Accessories,3,62.37,45.16,17.21,0,Club-More,Cash
1451,August,Friday,Organic Foods,3,83.94,66.12,17.82,0,Regular,Cash
1778,September,Saturday,Personal Care,1,33.63,25.47,8.16,0,Regular,Card
390,February,Wednesday,Water & Juices,4,203.18,156.8,46.38,0,Regular,Cash
35,January,Friday,Stationery Premium,5,116.76,91.85,24.91,0,Walk-in,Cash
160,January,Tuesday,Bakery,4,101.49,77.54,23.95,5,Walk-in,Card
191,January,Friday,Water & Juices,3,96.28,86.46,9.82,0,Walk-in,Cash
1080,June,Monday,Pet Care,3,117.59,94.17,23.42,0,Walk-in,Card
85,January,Wednesday,Snacks,5,44.58,32.76,11.82,0,Regular,Card
966,May,Thursday,Toys & Sports,1,15.95,11.86,4.09,0,Walk-in,Cash
747,April,Saturday,Home Appliance,1,563.79,454.64,109.15,0,Regular,Cash
282,February,Tuesday,Seasonal Products,2,56.17,45.03,11.14,0,Club-More,Card
1545,August,Wednesday,Watch & Accessories,5,23.02,16.18,6.84,5,Club-More,Cash
341,February,Saturday,Breakfast Cereals,4,82.48,62.38,20.1,0,Club-More,Cash
1586,August,Monday,Cleaning Supplies,4,199.0,174.04,24.96,0,Walk-in,Card
242,February,Tuesday,Water & Juices,4,83.07,61.9,21.17,0,Regular,Wallet
1012,June,Saturday,Organic Foods,1,71.83,63.93,7.9,0,Club-More,Card
1354,July,Friday,Toys & Sports,5,64.2,54.55,9.65,5,Club-More,Card
1032,June,Tuesday,Water & Juices,3,44.75,33.09,11.66,0,Club-More,Cash
1163,June,Sunday,Stationery Premium,2,105.66,93.58,12.08,0,Regular,Card
625,April,Monday,Tobacco & Accessories,3,50.93,35.88,15.05,0,Walk-in,Cash
1253,July,Friday,Energy Drinks,4,27.3,23.33,3.97,0,Walk-in,Cash
862,May,Wednesday,Dry Fruits & Nuts,3,58.29,50.86,7.43,0,Walk-in,Cash
78,January,Sunday,Toys & Sports,5,118.29,94.85,23.44,0,Walk-in,Card
194,January,Saturday,Bakery,3,51.33,43.31,8.02,0,Regular,Card
978,May,Wednesday,Electronics,2,334.32,258.45,75.87,0,Regular,Cash
1568,August,Tuesday,Cleaning Supplies,5,35.17,29.92,5.25,10,Club-More,Card
1598,August,Saturday,Personal Care,1,136.95,114.37,22.58,0,Club-More,Cash
1223,July,Wednesday,Snacks,4,62.96,53.72,9.24,0,Regular,Wallet
1300,July,Thursday,Soft Drinks,5,65.72,47.12,18.6,0,Regular,Card
944,May,Thursday,Watch & Accessories,1,32.53,26.81,5.72,5,Regular,Card
1335,July,Wednesday,Electronics,4,295.52,261.99,33.53,0,Walk-in,Wallet
581,March,Saturday,Canned Foods,2,136.68,122.12,14.56,5,Regular,Card
1810,September,Thursday,Imitation Jewelry,2,191.75,159.85,31.9,0,Walk-in,Card
1180,June,Thursday,Beverages,3,119.07,102.34,16.73,5,Regular,Cash
1741,September,Wednesday,Dry Fruits & Nuts,4,80.64,61.01,19.63,0,Club-More,Cash
1732,September,Monday,Luggage,2,21.63,18.72,2.91,10,Club-More,Cash
946,May,Sunday,Pet Care,5,62.82,45.27,17.55,0,Regular,Card
121,January,Sunday,Stationery,1,211.11,162.14,48.97,0,Walk-in,Card
1665,September,Friday,Footwear,5,118.2,99.65,18.55,10,Regular,Cash
1382,July,Sunday,Bakery,2,141.54,109.69,31.85,0,Regular,Card
809,May,Saturday,Fish,2,25.31,20.9,4.41,0,Club-More,Cash
886,May,Wednesday,Home Furnishing,2,17.26,13.65,3.61,0,Club-More,Wallet
1588,August,Wednesday,Pulses & Lentils,2,50.41,41.92,8.49,0,Regular,Wallet
1414,August,Monday,Beverages,5,167.18,149.36,17.82,0,Walk-in,Card
614,April,Thursday,Garments,4,47.2,33.93,13.27,0,Club-More,Cash
520,March,Wednesday,Health & Beauty,4,133.31,111.11,22.2,10,Regular,Card
224,February,Thursday,Roastery,2,91.09,74.44,16.65,10,Regular,Cash
915,May,Thursday,Electronics,4,405.54,344.51,61.03,0,Club-More,Card
869,May,Tuesday,Luggage,3,143.21,105.72,37.49,0,Club-More,Card
1563,August,Thursday,Cleaning Supplies,1,64.57,49.85,14.72,0,Regular,Card
1590,August,Saturday,Beverages,3,112.11,86.48,25.63,0,Regular,Card
50,January,Thursday,Oils & Ghee,4,19.59,14.82,4.77,10,Club-More,Card
1830,September,Wednesday,Stationery,2,75.48,60.65,14.83,0,Club-More,Card
307,February,Thursday,Fruits & Vegetables,1,110.95,92.43,18.52,15,Regular,Wallet
2,January,Wednesday,Personal Care,5,93.56,76.45,17.11,5,Regular,Cash
1456,August,Monday,Water & Juices,2,81.75,68.69,13.06,10,Club-More,Cash
1221,July,Wednesday,Personal Care,3,114.23,80.02,34.21,0,Walk-in,Card
1254,July,Sunday,Stationery Premium,3,110.37,78.83,31.54,0,Walk-in,Card
1259,July,Sunday,Chilled & Dairy,4,161.24,141.43,19.81,0,Walk-in,Cash
416,March,Saturday,Oils & Ghee,3,78.07,64.98,13.09,0,Club-More,Card
353,February,Friday,Home Appliance,4,469.43,344.55,124.88,10,Regular,Card
459,March,Thursday,Bakery,3,46.61,41.64,4.97,5,Walk-in,Card
557,March,Saturday,Garments,1,147.04,131.64,15.4,0,Club-More,Cash
1265,July,Sunday,FMCG Non-Food,4,71.01,58.25,12.76,15,Regular,Card
901,May,Thursday,Tobacco & Accessories,2,47.8,42.63,5.17,0,Regular,Card
219,February,Saturday,Jewellery & Accessories,4,527.86,443.57,84.29,0,Regular,Card
457,March,Saturday,Energy Drinks,4,31.57,25.95,5.62,0,Walk-in,Cash
1054,June,Wednesday,Toys & Sports,1,104.55,86.94,17.61,0,Walk-in,Cash
1311,July,Sunday,Baby Products,2,48.08,36.07,12.01,5,Regular,Card
663,April,Sunday,Canned Foods,1,48.71,38.78,9.93,10,Regular,Cash
2,January,Saturday,Stationery Premium,1,74.9,56.98,17.92,0,Regular,Cash
109,January,Monday,Snacks,4,30.09,25.76,4.33,0,Regular,Wallet
1252,July,Sunday,Butchery,4,85.49,66.6,18.89,0,Regular,Card
85,January,Wednesday,Pulses & Lentils,5,85.46,66.74,18.72,0,Regular,Card
1463,August,Wednesday,Garments,2,25.21,22.22,2.99,0,Regular,Cash
119,January,Wednesday,Snacks,2,47.76,38.78,8.98,0,Walk-in,Card
1110,June,Thursday,Roastery,4,56.29,45.75,10.54,0,Regular,Card
308,February,Wednesday,Kitchenware,4,27.99,23.04,4.95,0,Regular,Cash
215,February,Friday,FMCG Food,1,98.8,76.34,22.46,0,Club-More,Cash
1413,August,Wednesday,Kitchenware,2,46.71,34.21,12.5,0,Walk-in,Wallet
1864,September,Thursday,Roastery,1,90.82,75.28,15.54,0,Regular,Card
230,February,Thursday,FMCG Food,5,36.5,31.92,4.58,0,Regular,Card
923,May,Sunday,Imitation Jewelry,2,28.62,21.31,7.31,0,Regular,Cash
768,April,Monday,Fruits & Vegetables,2,107.18,76.26,30.92,0,Club-More,Card
479,March,Wednesday,Bakery,3,77.9,69.34,8.56,0,Regular,Card
1686,September,Thursday,Baby Products,1,97.32,74.19,23.13,10,Regular,Card
1222,July,Thursday,Seasonal Products,2,96.16,82.5,13.66,0,Club-More,Wallet
667,April,Saturday,Dry Fruits & Nuts,1,16.7,13.31,3.39,10,Regular,Cash
687,April,Saturday,Cleaning Supplies,2,115.5,86.56,28.94,5,Regular,Cash
1766,September,Tuesday,Butchery,1,86.57,69.49,17.08,5,Regular,Card
1727,September,Monday,Dry Fruits & Nuts,1,78.13,58.86,19.27,0,Club-More,Card
1605,August,Monday,Rice & Grains,3,159.31,121.41,37.9,0,Regular,Cash
301,February,Monday,Garments,2,124.86,94.53,30.33,0,Walk-in,Card
112,January,Friday,Pulses & Lentils,4,79.07,64.87,14.2,0,Regular,Card
1066,June,Saturday,Fruits & Vegetables,2,119.32,91.55,27.77,0,Walk-in,Card
1061,June,Thursday,Fruits & Vegetables,3,22.55,17.06,5.49,0,Club-More,Card
299,February,Wednesday,Baby Products,1,84.08,63.52,20.56,10,Regular,Cash
1521,August,Monday,Rice & Grains,5,80.01,68.83,11.18,0,Regular,Card
295,February,Sunday,Gift Items,4,43.66,34.91,8.75,0,Walk-in,Cash
863,May,Tuesday,Baby Products,3,32.89,26.65,6.24,10,Club-More,Cash
377,February,Thursday,FMCG Food,4,76.29,59.03,17.26,0,Regular,Cash
647,April,Friday,Ice Cream,3,256.27,192.64,63.63,0,Walk-in,Cash
1444,August,Sunday,Jewellery & Accessories,3,436.2,331.97,104.23,0,Regular,Card
462,March,Thursday,Bakery,3,111.55,91.97,19.58,0,Club-More,Cash
587,March,Tuesday,Baby Products,3,59.55,43.4,16.15,10,Walk-in,Card
